Radio,MCC,MNC,TAC,CID,Lon,Lat,Range
LTE,272,3,40122,88273410,-8.4752,51.8931,1000
LTE,272,5,40200,471553,-6.2545,53.302,1159
LTE,272,5,40100,294146,-6.2876,53.3472,1261
LTE,272,3,40072,10572555,-6.4356,53.2933,1482
LTE,272,5,40102,336642,-6.2696,53.3468,1000
LTE,272,5,40100,294144,-6.2796,53.348,1000
LTE,272,5,40100,294145,-6.2815,53.3463,1000
LTE,272,5,40100,294166,-6.2847,53.3467,1000
LTE,272,3,40052,10501900,-6.2441,53.3379,1000
LTE,272,5,42600,336902,-9.0547,51.7318,12956
LTE,272,3,4006,10515203,-6.2348,53.3679,3035
LTE,272,3,4006,10515213,-6.2311,53.359,1209
LTE,272,3,40052,10501890,-6.2435,53.3377,1000
LTE,272,3,40111,10565131,-6.4407,53.3509,1179
LTE,272,3,40111,11141890,-6.4685,53.3578,3156
LTE,272,5,40100,294165,-6.2767,53.3459,1030
LTE,272,3,40101,11375885,-7.2561,52.6627,1183
LTE,272,3,40122,11016961,-8.3898,51.9439,2722
LTE,272,5,40204,811542,-6.2141,53.3416,1000
LTE,272,5,40100,346368,-6.2873,53.356,1000
LTE,272,5,40100,308226,-6.2823,53.35,1000
LTE,272,5,40100,823810,-6.2818,53.3509,1000
LTE,272,3,40112,11133697,-8.9214,53.2744,1000
LTE,272,3,40112,10829580,-8.974,53.3002,5054
LTE,272,3,4006,10497036,-6.262,53.3523,1000
LTE,272,3,4006,10497026,-6.2624,53.3515,1000
LTE,272,3,40052,10498572,-6.2636,53.3504,1000
LTE,272,3,40052,10507335,-6.2656,53.3506,1000
LTE,272,3,40052,10498571,-6.2653,53.351,1000
LTE,272,3,40052,10498633,-6.2676,53.3482,1000
LTE,272,3,40052,10699275,-6.2582,53.3632,7403
LTE,272,3,40052,10520834,-6.259,53.3472,1000
LTE,272,3,40052,10507265,-6.2656,53.3505,1000
LTE,272,5,41703,333830,-7.673,54.997,4690
LTE,272,3,40101,11375895,-7.2487,52.6579,1181
